Timestamp,Open,High,Low,Close,Volume,OI
1674035472,81.8225,81.8225,81.8225,81.8225,1,3173308,
1674035475,81.825,81.825,81.825,81.825,9,3173308,
1674035476,81.8225,81.8225,81.8225,81.8225,45,3173308,
1674035478,81.825,81.825,81.825,81.825,18,3173308,
1674035480,81.825,81.825,81.825,81.825,7,3173308,
1674035481,81.825,81.825,81.825,81.825,19,3173308,
1674035483,81.825,81.825,81.825,81.825,29,3173308,
1674035484,81.825,81.825,81.825,81.825,0,3173308,
1674035488,81.825,81.825,81.825,81.825,1,3173308,
1674035499,81.825,81.825,81.825,81.825,112,3173308,
1674035501,81.8275,81.8275,81.8275,81.8275,74,3173308,
1674035507,81.8275,81.8275,81.8275,81.8275,2,3173308,
1674035508,81.825,81.825,81.825,81.825,1,3173308,
1674035512,81.8275,81.8275,81.8275,81.8275,1,3173308,
1674035516,81.8275,81.8275,81.8275,81.8275,16,3173308,
1674035519,81.8275,81.8275,81.8275,81.8275,2,3173308,
1674035521,81.8275,81.8275,81.8275,81.8275,68,3173308,
1674035522,81.825,81.825,81.825,81.825,1,3173308,
1674035524,81.825,81.8275,81.825,81.8275,2,3173308,
1674035526,81.825,81.825,81.825,81.825,38,3173308,
1674035527,81.8275,81.8275,81.8275,81.8275,6,3173308,
1674035528,81.8275,81.8275,81.8275,81.8275,4,3173308,
1674035532,81.825,81.825,81.825,81.825,3,3173308,
1674035534,81.8275,81.8275,81.8275,81.8275,16,3173308,
1674035536,81.8275,81.8275,81.8275,81.8275,11,3173308,
1674035537,81.8275,81.8275,81.8275,81.8275,3,3173308,
1674035551,81.8275,81.8275,81.8275,81.8275,2,3173308,
1674035552,81.8275,81.8275,81.8275,81.8275,12,3173308,
1674035553,81.8275,81.8275,81.8275,81.8275,242,3173308,
1674035566,81.8275,81.8275,81.8275,81.8275,20,3173308,
1674035572,81.8325,81.8325,81.8325,81.8325,1848,3173308,
1674035576,81.8325,81.8325,81.8325,81.8325,63,3173308,
1674035577,81.83,81.83,81.83,81.83,402,3173308,
1674035580,81.8325,81.8325,81.8325,81.8325,21,3173308,
1674035582,81.8325,81.8325,81.8325,81.8325,375,3173308,
1674035585,81.8325,81.8325,81.8325,81.8325,1,3173308,
1674035591,81.8325,81.8325,81.8325,81.8325,362,3171511,
1674035592,81.8325,81.8325,81.8325,81.8325,320,3171511,
1674035594,81.8325,81.8325,81.8325,81.8325,19,3171511,
1674035596,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035598,81.83,81.83,81.83,81.83,3,3171511,
1674035601,81.83,81.83,81.83,81.83,62,3171511,
1674035606,81.83,81.83,81.83,81.83,112,3171511,
1674035607,81.83,81.83,81.83,81.83,20,3171511,
1674035609,81.83,81.83,81.83,81.83,5,3171511,
1674035610,81.83,81.83,81.83,81.83,11,3171511,
1674035612,81.8275,81.8275,81.8275,81.8275,1,3171511,
1674035616,81.8275,81.8275,81.8275,81.8275,30,3171511,
1674035617,81.8275,81.8275,81.8275,81.8275,25,3171511,
